CustomerID,State,Location Code,Education,Gender,Coverage,EmploymentStatus,Income,Marital Status,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Renew Offer Type,Vehicle Class,Customer Lifetime Value,Vehicle Size,Policy,Policy Type,Sales Channel,Total Claim Amount,Months Since Last Claim,Months Since Policy Inception,Response
SX51350,California,Suburban,College,M,Basic,Unemployed,0,Single,67,0,3,Offer1,Four-Door Car,4738.992022,Small,Personal L3,Personal Auto,Agent,482.4,23,5,No
VQ65197,California,Suburban,College,F,Basic,Unemployed,0,Married,110,0,3,Offer2,SUV,8197.197078,Medsize,Personal L3,Personal Auto,Agent,528,27,87,No
DP39365,California,Urban,Master,M,Premium,Employed,77026,Married,110,2,3,Offer2,Four-Door Car,8798.797003,Medsize,Corporate L1,Corporate Auto,Agent,472.029737,9,82,No
SJ95423,Arizona,Suburban,High School or Below,M,Basic,Employed,99845,Married,110,1,8,Offer2,SUV,8819.018934,Medsize,Corporate L3,Corporate Auto,Branch,528,23,25,Yes
IL66569,California,Urban,College,M,Basic,Employed,83689,Single,70,2,8,Offer4,Four-Door Car,5384.431665,Medsize,Corporate L3,Corporate Auto,Call Center,307.139132,21,10,No
BW63560,Oregon,Rural,Bachelor,F,Basic,Employed,24599,Married,64,1,2,Offer2,Four-Door Car,7463.139377,Medsize,Corporate L2,Corporate Auto,Branch,42.920271,12,50,No
FV94802,Nevada,Suburban,High School or Below,M,Basic,Medical Leave,25049,Married,67,0,1,Offer2,Two-Door Car,2566.867823,Medsize,Personal L3,Personal Auto,Call Center,454.245098,14,7,No
OE15005,California,Suburban,College,M,Basic,Medical Leave,28855,Married,101,0,1,Offer3,SUV,3945.241604,Medsize,Personal L2,Personal Auto,Call Center,647.442031,12,59,No
WC83389,Oregon,Urban,College,M,Basic,Employed,51148,Married,72,0,7,Offer2,Four-Door Car,5710.333115,Medsize,Personal L2,Personal Auto,Branch,308.981664,9,1,No
FL50705,California,Suburban,High School or Below,F,Premium,Employed,66140,Married,101,0,3,Offer1,Four-Door Car,8162.617053,Small,Corporate L2,Corporate Auto,Call Center,484.8,11,21,No
ZK25313,Oregon,Suburban,High School or Below,M,Basic,Employed,57749,Single,74,0,1,Offer1,Two-Door Car,2872.051273,Medsize,Personal L2,Personal Auto,Branch,355.2,31,21,No
SV62436,Washington,Suburban,Bachelor,F,Extended,Disabled,13789,Divorced,79,0,1,Offer4,Four-Door Car,3041.791561,Medsize,Personal L3,Personal Auto,Call Center,379.2,8,49,No
YH23384,Arizona,Suburban,Bachelor,M,Basic,Medical Leave,14072,Divorced,71,0,2,Offer1,Four-Door Car,24127.50402,Medsize,Personal L3,Personal Auto,Agent,511.2,13,3,Yes
TZ98966,Nevada,Suburban,Bachelor,F,Basic,Unemployed,0,Single,73,3,1,Offer1,Four-Door Car,2450.190996,Medsize,Corporate L3,Corporate Auto,Branch,554.376763,4,44,No
HM55802,California,Suburban,Bachelor,F,Basic,Disabled,17870,Married,61,0,1,Offer2,Four-Door Car,2392.10789,Medsize,Corporate L2,Corporate Auto,Branch,439.2,30,91,No
FS42516,Oregon,Suburban,College,M,Basic,Employed,97541,Married,72,0,3,Offer2,Four-Door Car,5802.065978,Large,Personal L3,Personal Auto,Call Center,389.185006,22,1,No
US89481,California,Suburban,Bachelor,F,Premium,Unemployed,0,Single,111,0,1,Offer1,Four-Door Car,3946.372085,Small,Personal L3,Personal Auto,Agent,799.2,15,47,No
HO30839,Washington,Urban,Master,F,Extended,Disabled,10511,Married,139,0,1,Offer1,SUV,5346.916576,Medsize,Corporate L1,Corporate Auto,Branch,516.237951,33,64,No
GE62437,Arizona,Suburban,College,F,Premium,Employed,86584,Single,111,2,2,Offer1,Four-Door Car,12902.56014,Large,Personal L3,Personal Auto,Call Center,532.8,33,54,No
EJ77678,Oregon,Suburban,Master,F,Extended,Employed,75690,Married,80,1,1,Offer2,Four-Door Car,3235.360468,Small,Personal L3,Personal Auto,Branch,384,17,44,No
SV85652,Arizona,Suburban,College,M,Basic,Employed,23158,Married,63,1,1,Offer4,Four-Door Car,2454.58354,Small,Personal L2,Personal Auto,Call Center,322.294043,4,6,No
UL64533,Nevada,Urban,High School or Below,M,Extended,Employed,65999,Married,237,0,6,Offer2,Luxury SUV,18975.45611,Medsize,Corporate L2,Corporate Auto,Agent,615.927769,1,14,No
PF41800,California,Urban,Bachelor,M,Basic,Unemployed,0,Married,65,0,3,Offer1,Four-Door Car,4715.321344,Medsize,Personal L3,Personal Auto,Call Center,308.15089,19,56,No
AO98601,Washington,Suburban,Bachelor,M,Basic,Employed,54500,Married,63,0,6,Offer1,Two-Door Car,5018.885233,Small,Corporate L2,Corporate Auto,Agent,302.4,28,17,No
SK67821,Oregon,Rural,Bachelor,F,Basic,Employed,37260,Married,62,0,8,Offer3,Four-Door Car,4932.916345,Medsize,Corporate L1,Corporate Auto,Web,15.437681,19,42,No
YV55495,Arizona,Urban,High School or Below,F,Basic,Employed,68987,Married,71,0,6,Offer1,Four-Door Car,5744.229745,Medsize,Personal L1,Personal Auto,Branch,204.475147,11,40,No
KY38074,California,Suburban,Bachelor,M,Premium,Employed,42305,Married,117,0,2,Offer1,Four-Door Car,13891.73567,Small,Personal L3,Personal Auto,Agent,561.6,10,62,No
DM79012,Oregon,Suburban,Master,F,Extended,Employed,65706,Married,91,0,8,Offer2,Four-Door Car,7380.976717,Small,Personal L3,Personal Auto,Web,436.8,19,86,No
CM61827,Oregon,Suburban,Bachelor,M,Extended,Unemployed,0,Single,90,0,1,Offer3,Two-Door Car,3090.034104,Small,Personal L2,Personal Auto,Agent,648,7,79,No
WC35801,Arizona,Rural,High School or Below,M,Basic,Employed,53243,Divorced,66,2,1,Offer1,Four-Door Car,2521.633095,Medsize,Personal L3,Personal Auto,Call Center,157.397849,4,15,No
QG25316,Nevada,Suburban,High School or Below,F,Basic,Unemployed,0,Married,70,1,1,Offer3,Two-Door Car,2652.061785,Medsize,Corporate L3,Corporate Auto,Call Center,484.318536,7,1,No
MB98372,Oregon,Rural,College,F,Basic,Employed,50071,Single,71,0,1,Offer2,Two-Door Car,2771.045031,Medsize,Corporate L3,Corporate Auto,Agent,18.918935,3,32,Yes
IL19217,California,Suburban,Bachelor,F,Extended,Employed,60021,Married,99,0,1,Offer2,Four-Door Car,3939.00637,Small,Personal L2,Personal Auto,Agent,882.871945,12,28,Yes
SR38658,Arizona,Suburban,High School or Below,M,Basic,Employed,43244,Married,103,0,2,Offer4,Sports Car,12231.87968,Medsize,Personal L2,Personal Auto,Agent,494.4,15,16,No
DH41343,Washington,Suburban,College,M,Basic,Employed,92834,Married,61,0,1,Offer2,Four-Door Car,2443.665166,Large,Special L2,Special Auto,Call Center,292.8,15,56,No
HG65722,Oregon,Rural,Doctor,F,Premium,Disabled,10105,Married,172,3,3,Offer1,SUV,12819.10289,Medsize,Personal L2,Personal Auto,Branch,0.517753,5,4,No
BU27331,Arizona,Suburban,Bachelor,M,Basic,Unemployed,0,Single,73,3,5,Offer3,Four-Door Car,4468.510542,Medsize,Personal L3,Personal Auto,Call Center,579.165954,7,57,No
XM45289,Oregon,Suburban,High School or Below,F,Basic,Employed,23218,Single,71,0,4,Offer4,Two-Door Car,5514.344018,Medsize,Personal L2,Personal Auto,Agent,447.79344,7,10,No
KP34198,California,Suburban,Bachelor,F,Extended,Unemployed,0,Married,92,0,1,Offer2,Four-Door Car,3343.875326,Medsize,Corporate L2,Corporate Auto,Call Center,529.624084,11,77,No
SH90947,Arizona,Suburban,High School or Below,F,Basic,Unemployed,0,Married,62,0,1,Offer4,Four-Door Car,2294.478927,Medsize,Personal L2,Personal Auto,Branch,313.023175,11,56,No
WE95729,Oregon,Suburban,College,M,Basic,Employed,24804,Married,104,0,2,Offer1,SUV,36707.42639,Small,Personal L2,Personal Auto,Agent,593.830288,1,28,No
PY51963,California,Suburban,Bachelor,F,Basic,Employed,33190,Divorced,106,0,2,Offer1,SUV,33473.34946,Medsize,Corporate L1,Corporate Auto,Web,508.8,18,95,Yes
RB69909,Nevada,Rural,High School or Below,F,Basic,Employed,36014,Married,69,3,2,Offer4,Four-Door Car,7983.431709,Medsize,Special L1,Special Auto,Branch,173.956072,4,40,No
XR95069,Washington,Suburban,Bachelor,M,Basic,Employed,29834,Single,64,0,3,Offer4,Four-Door Car,4854.745666,Medsize,Personal L3,Personal Auto,Agent,307.2,19,44,No
FR46645,California,Suburban,Bachelor,M,Premium,Disabled,16701,Married,113,0,1,Offer1,Four-Door Car,4293.997319,Small,Personal L2,Personal Auto,Branch,831.625979,20,26,No
SY17488,Arizona,Suburban,College,F,Extended,Employed,46623,Divorced,91,0,3,Offer3,Four-Door Car,7164.395543,Small,Corporate L3,Corporate Auto,Call Center,436.8,1,53,No
AP67935,California,Urban,College,M,Basic,Employed,64749,Married,64,0,2,Offer2,Four-Door Car,7619.5158,Medsize,Special L2,Special Auto,Branch,302.56519,24,59,No
FS37417,Arizona,Suburban,High School or Below,F,Basic,Unemployed,0,Married,101,0,1,Offer1,SUV,3958.002823,Small,Personal L2,Personal Auto,Call Center,484.8,29,12,No
ML29312,Oregon,Suburban,High School or Below,F,Extended,Disabled,16969,Divorced,124,2,1,Offer1,SUV,4499.493252,Medsize,Personal L3,Personal Auto,Call Center,704.768111,34,47,No
UB61619,Oregon,Suburban,Master,F,Premium,Disabled,11621,Divorced,108,0,1,Offer1,Four-Door Car,4059.567414,Medsize,Personal L1,Personal Auto,Agent,518.4,4,98,No
CD86811,Arizona,Suburban,Bachelor,M,Basic,Retired,17622,Divorced,65,1,3,Offer1,Four-Door Car,4458.113369,Medsize,Personal L1,Personal Auto,Agent,312,1,36,Yes
RU83859,California,Suburban,Bachelor,F,Premium,Medical Leave,11489,Married,105,0,6,Offer1,Two-Door Car,8110.333139,Small,Personal L3,Personal Auto,Call Center,504,4,50,No
FG63582,Oregon,Suburban,Bachelor,M,Extended,Unemployed,0,Single,94,0,1,Offer1,Two-Door Car,3339.764873,Small,Personal L3,Personal Auto,Agent,863.327324,20,53,No
NN71951,California,Rural,High School or Below,F,Basic,Employed,66525,Married,100,0,2,Offer1,SUV,24261.01777,Medsize,Personal L3,Personal Auto,Agent,104.331355,0,86,No
WB37082,Arizona,Suburban,Bachelor,F,Basic,Unemployed,0,Single,63,0,2,Offer3,Four-Door Car,6613.973653,Large,Personal L3,Personal Auto,Branch,676.391482,21,28,No
SM52139,Washington,Suburban,College,M,Basic,Employed,33663,Married,73,0,1,Offer3,Four-Door Car,2930.693543,Medsize,Personal L3,Personal Auto,Web,350.4,29,71,No
FL82372,Oregon,Suburban,College,F,Basic,Employed,22547,Divorced,112,0,3,Offer1,SUV,8672.194272,Medsize,Corporate L3,Corporate Auto,Agent,537.6,7,60,No
DP45816,Arizona,Urban,High School or Below,F,Extended,Employed,61486,Married,97,0,2,Offer4,Two-Door Car,11638.66926,Small,Personal L3,Personal Auto,Branch,465.258644,5,65,No
GW33762,Oregon,Suburban,Bachelor,F,Extended,Unemployed,0,Divorced,95,0,5,Offer1,Two-Door Car,6846.150323,Large,Personal L3,Personal Auto,Call Center,456,13,20,Yes
RZ33670,California,Suburban,College,F,Premium,Disabled,29879,Married,102,0,2,Offer3,Four-Door Car,11727.77648,Medsize,Personal L3,Personal Auto,Web,500.254235,17,0,No
PY70169,Oregon,Rural,High School or Below,M,Basic,Employed,93011,Divorced,113,0,2,Offer4,SUV,22643.83478,Medsize,Personal L3,Personal Auto,Agent,281.451042,17,12,No
MO91628,Oregon,Rural,Master,M,Basic,Employed,65186,Married,65,0,1,Offer2,Two-Door Car,2614.474305,Large,Personal L2,Personal Auto,Web,5.434505,29,27,No
HW87852,Oregon,Suburban,Master,M,Basic,Medical Leave,26840,Married,64,2,1,Offer1,Four-Door Car,2451.752695,Medsize,Personal L1,Personal Auto,Agent,307.2,1,47,No
HB20453,Oregon,Suburban,Bachelor,M,Basic,Unemployed,0,Single,104,1,5,Offer1,Sports Car,6781.270203,Medsize,Personal L3,Personal Auto,Agent,982.399613,30,3,No
BN87372,Oregon,Suburban,Bachelor,M,Basic,Employed,75644,Divorced,65,3,9,Offer2,Two-Door Car,4974.801539,Medsize,Personal L3,Personal Auto,Branch,467.803638,5,68,Yes
YX23800,Oregon,Suburban,Bachelor,M,Basic,Employed,38984,Married,73,0,2,Offer2,Four-Door Car,8591.604933,Small,Personal L3,Personal Auto,Branch,350.4,27,38,No
DZ87709,Oregon,Rural,High School or Below,F,Basic,Employed,71811,Single,71,0,6,Offer2,Four-Door Car,5592.161392,Medsize,Personal L1,Personal Auto,Call Center,29.03416,17,48,No
XW13033,Nevada,Suburban,College,M,Basic,Employed,20961,Married,67,0,2,Offer2,Four-Door Car,8009.472833,Medsize,Personal L1,Personal Auto,Agent,321.6,20,33,No
LN31673,Washington,Rural,College,M,Extended,Employed,38923,Married,99,2,2,Offer1,Four-Door Car,11318.08982,Medsize,Personal L3,Personal Auto,Agent,115.728852,6,83,No
OM82309,California,Rural,Bachelor,M,Basic,Employed,61321,Single,186,1,2,Offer2,Luxury Car,58166.55351,Small,Personal L3,Personal Auto,Branch,427.63121,0,30,No
ZU35962,California,Rural,College,F,Extended,Unemployed,0,Single,77,0,2,Offer3,Two-Door Car,8025.229358,Large,Personal L3,Personal Auto,Branch,25.807685,20,26,No
VH85817,California,Suburban,High School or Below,M,Basic,Employed,51066,Single,74,0,8,Offer2,Four-Door Car,5780.182197,Medsize,Personal L3,Personal Auto,Call Center,787.993313,23,0,Yes
DT85712,California,Suburban,Doctor,M,Basic,Employed,34378,Married,102,0,1,Offer3,SUV,4118.539113,Medsize,Personal L1,Personal Auto,Branch,489.6,12,54,No
YJ88573,Nevada,Suburban,Master,M,Basic,Employed,43072,Married,63,0,1,Offer2,Four-Door Car,2523.07015,Large,Personal L3,Personal Auto,Call Center,302.4,35,15,No
SQ19467,Oregon,Suburban,College,F,Extended,Disabled,25222,Single,90,0,3,Offer2,Four-Door Car,6554.216396,Small,Personal L3,Personal Auto,Agent,475.623251,28,69,No
HF88410,Washington,Suburban,High School or Below,M,Basic,Employed,36765,Married,66,1,2,Offer1,Four-Door Car,7703.397294,Medsize,Personal L2,Personal Auto,Call Center,320.849072,15,32,No
ET79815,California,Suburban,College,M,Extended,Retired,23091,Married,96,5,5,Offer1,Four-Door Car,5926.729379,Medsize,Personal L1,Personal Auto,Agent,460.8,28,90,Yes
QC35222,California,Urban,Bachelor,F,Basic,Employed,48269,Married,69,3,1,Offer3,Four-Door Car,2683.470677,Medsize,Corporate L2,Corporate Auto,Web,282.151207,3,79,No
CJ15590,Oregon,Suburban,Bachelor,F,Basic,Employed,32720,Divorced,67,0,1,Offer3,Four-Door Car,2695.182419,Medsize,Personal L2,Personal Auto,Branch,321.6,13,12,No
OI48267,California,Suburban,College,M,Extended,Employed,20396,Married,76,1,4,Offer1,Four-Door Car,6047.02516,Medsize,Personal L3,Personal Auto,Branch,364.8,15,60,Yes
JY67916,Oregon,Suburban,College,M,Premium,Medical Leave,21513,Married,119,1,2,Offer2,Two-Door Car,13171.01282,Small,Personal L3,Personal Auto,Branch,679.827592,21,81,No
OE75231,Washington,Suburban,Bachelor,F,Extended,Employed,72540,Married,88,0,2,Offer2,Two-Door Car,10656.88195,Medsize,Corporate L3,Corporate Auto,Call Center,631.743039,7,3,Yes
CZ33664,Oregon,Rural,Bachelor,F,Basic,Employed,80744,Married,63,0,1,Offer1,Four-Door Car,2527.653796,Medsize,Corporate L3,Corporate Auto,Agent,11.879037,24,84,No
WK30175,Oregon,Suburban,Bachelor,M,Basic,Employed,52822,Married,67,0,1,Offer1,Two-Door Car,2672.095756,Small,Corporate L1,Corporate Auto,Branch,350.529033,23,88,No
ON44465,California,Suburban,High School or Below,F,Extended,Unemployed,0,Single,77,1,9,Offer1,Four-Door Car,5313.294035,Medsize,Personal L2,Personal Auto,Agent,863.3947,8,10,No
TV87155,Oregon,Suburban,Bachelor,F,Basic,Employed,69738,Married,74,1,2,Offer1,Four-Door Car,20946.19251,Large,Personal L3,Personal Auto,Branch,492.127532,2,26,No
KH48895,Arizona,Rural,Master,F,Basic,Medical Leave,17780,Married,109,0,9,Offer1,SUV,8375.353929,Medsize,Personal L3,Personal Auto,Branch,132.588288,12,18,No
NZ30757,California,Suburban,Bachelor,M,Basic,Medical Leave,18107,Married,62,0,8,Offer1,Four-Door Car,4801.661503,Medsize,Personal L2,Personal Auto,Agent,297.6,29,11,No
RI22468,Arizona,Urban,Bachelor,F,Basic,Employed,57740,Married,74,3,9,Offer3,Four-Door Car,5745.94334,Medsize,Personal L1,Personal Auto,Web,269.905129,30,87,No
FZ30935,Oregon,Suburban,College,M,Extended,Employed,32627,Married,76,0,7,Offer1,Two-Door Car,6066.115969,Small,Personal L2,Personal Auto,Agent,380.036697,11,60,No
UG93476,California,Suburban,College,F,Basic,Unemployed,0,Married,107,0,3,Offer1,SUV,8002.308333,Medsize,Personal L3,Personal Auto,Agent,513.6,3,65,Yes
AB96670,California,Suburban,College,M,Basic,Unemployed,0,Single,70,0,1,Offer1,Four-Door Car,2393.915369,Medsize,Personal L1,Personal Auto,Branch,425.266308,24,10,Yes
XK64261,Oregon,Rural,Bachelor,M,Basic,Employed,65795,Single,62,1,3,Offer3,Two-Door Car,4762.8179,Medsize,Corporate L3,Corporate Auto,Call Center,49.011099,2,85,No
EV68375,California,Suburban,College,M,Premium,Employed,60475,Married,107,0,1,Offer2,Four-Door Car,4330.38602,Medsize,Personal L3,Personal Auto,Branch,513.6,9,18,Yes
UN51653,California,Suburban,High School or Below,F,Extended,Unemployed,0,Single,130,0,4,Offer1,SUV,9402.729769,Medsize,Personal L3,Personal Auto,Web,936,28,88,No
TO96662,Oregon,Rural,Bachelor,F,Extended,Employed,41837,Married,88,0,9,Offer1,Four-Door Car,6966.694527,Small,Personal L3,Personal Auto,Call Center,142.062768,29,93,No
MR52087,California,Rural,Bachelor,F,Basic,Employed,32303,Married,65,0,2,Offer3,Four-Door Car,7694.064293,Medsize,Personal L1,Personal Auto,Branch,45.152521,13,34,No
DE75225,Oregon,Suburban,High School or Below,M,Basic,Unemployed,0,Married,117,1,3,Offer1,SUV,8717.561149,Medsize,Personal L1,Personal Auto,Agent,561.6,5,89,No
EP80820,California,Rural,Bachelor,F,Basic,Employed,40531,Married,74,0,9,Offer1,Two-Door Car,5928.748528,Medsize,Personal L3,Personal Auto,Agent,30.567357,17,32,No
GU99037,Oregon,Urban,College,M,Basic,Employed,79898,Married,62,1,1,Offer4,Four-Door Car,2452.977288,Medsize,Corporate L1,Corporate Auto,Agent,271.606799,5,86,No
WI57118,California,Suburban,College,M,Extended,Employed,56398,Married,85,0,7,Offer4,Four-Door Car,6701.571657,Small,Personal L3,Personal Auto,Agent,408,4,18,No
YQ74870,Washington,Suburban,High School or Below,M,Extended,Employed,35257,Divorced,98,1,8,Offer2,Four-Door Car,7556.24034,Small,Corporate L2,Corporate Auto,Web,470.4,16,2,No
MQ14219,Arizona,Suburban,College,M,Basic,Employed,27804,Married,109,0,7,Offer2,SUV,8492.6988,Medsize,Personal L3,Personal Auto,Branch,784.8,19,54,No
KN20603,Oregon,Suburban,Bachelor,M,Basic,Employed,45506,Single,66,2,2,Offer1,Four-Door Car,7713.494046,Medsize,Personal L3,Personal Auto,Agent,316.8,16,32,No
CR48975,Washington,Suburban,High School or Below,M,Basic,Employed,65196,Married,67,0,2,Offer4,Four-Door Car,24084.5352,Medsize,Personal L2,Personal Auto,Branch,396.082036,0,54,No
JI70886,California,Suburban,High School or Below,M,Basic,Unemployed,0,Married,102,1,3,Offer1,SUV,7290.069769,Medsize,Corporate L2,Corporate Auto,Agent,489.6,11,70,No
VF72557,Oregon,Suburban,High School or Below,M,Extended,Retired,20993,Divorced,133,0,1,Offer2,SUV,4772.943848,Medsize,Personal L3,Personal Auto,Agent,638.4,35,90,Yes
OX28638,Arizona,Suburban,High School or Below,M,Extended,Employed,37839,Married,86,0,9,Offer2,Two-Door Car,6806.491395,Medsize,Personal L3,Personal Auto,Branch,465.633954,35,77,No
SK55033,California,Suburban,Bachelor,F,Basic,Employed,92711,Single,62,0,1,Offer3,Two-Door Car,2469.781334,Medsize,Personal L2,Personal Auto,Agent,368.400146,24,10,No
OO88645,California,Urban,College,F,Extended,Employed,74665,Married,78,2,1,Offer2,Four-Door Car,3103.923041,Medsize,Corporate L2,Corporate Auto,Call Center,236.902001,10,90,No
YT36855,Washington,Suburban,College,M,Extended,Unemployed,0,Married,83,0,1,Offer3,Two-Door Car,2981.875575,Medsize,Personal L2,Personal Auto,Web,582.679087,26,89,No
CW82151,California,Rural,Bachelor,M,Basic,Employed,46833,Married,112,0,9,Offer1,Sports Car,8902.737595,Medsize,Personal L3,Personal Auto,Call Center,64.109663,6,3,No
DY22043,Oregon,Suburban,High School or Below,F,Basic,Employed,88768,Married,68,0,7,Offer3,Two-Door Car,5499.447223,Small,Personal L3,Personal Auto,Branch,326.4,17,77,No
SH36774,California,Suburban,High School or Below,M,Basic,Employed,28262,Single,192,0,3,Offer3,Luxury SUV,15023.59858,Medsize,Personal L3,Personal Auto,Web,921.6,9,77,No
EM43724,Nevada,Rural,Bachelor,F,Basic,Employed,33555,Married,63,0,1,Offer1,Four-Door Car,2509.107875,Medsize,Personal L3,Personal Auto,Agent,101.89645,17,11,No
FH85960,Oregon,Suburban,College,M,Premium,Employed,42780,Divorced,113,1,2,Offer1,Four-Door Car,31221.7481,Medsize,Personal L2,Personal Auto,Call Center,542.4,10,27,No
XA55993,Oregon,Rural,Master,F,Extended,Employed,58850,Single,78,0,1,Offer2,Four-Door Car,3133.503432,Medsize,Personal L3,Personal Auto,Branch,143.747794,20,26,No
GO36627,Arizona,Urban,College,M,Extended,Employed,21880,Married,97,0,1,Offer1,Four-Door Car,3837.451863,Medsize,Special L2,Special Auto,Branch,424.077159,29,37,No
QH48047,Oregon,Suburban,College,M,Basic,Retired,25251,Divorced,66,0,2,Offer2,Four-Door Car,11790.49617,Medsize,Personal L2,Personal Auto,Web,316.8,13,43,Yes
RB50392,Washington,Rural,Master,F,Basic,Unemployed,0,Married,69,0,2,Offer2,Four-Door Car,7838.068321,Medsize,Personal L1,Personal Auto,Agent,2.704934,9,12,No
UH65059,Arizona,Suburban,High School or Below,M,Basic,Employed,24188,Married,109,0,1,Offer1,Sports Car,4305.808345,Medsize,Personal L3,Personal Auto,Agent,523.2,14,82,No
FV21968,Nevada,Rural,Bachelor,F,Basic,Employed,41611,Married,74,0,8,Offer1,Four-Door Car,5973.976904,Medsize,Special L2,Special Auto,Branch,113.801497,14,8,No
QA87025,Oregon,Urban,Bachelor,F,Basic,Employed,28406,Married,72,1,4,Offer1,Four-Door Car,5670.442396,Medsize,Personal L3,Personal Auto,Call Center,192.87572,16,35,No
TQ13499,Arizona,Suburban,College,M,Premium,Employed,69833,Married,118,0,1,Offer1,Four-Door Car,4731.749346,Small,Personal L3,Personal Auto,Agent,828.662719,32,99,No
BU44523,Arizona,Suburban,High School or Below,F,Basic,Unemployed,0,Single,74,0,2,Offer1,Four-Door Car,8026.379641,Small,Corporate L2,Corporate Auto,Web,532.8,15,91,No
MS41162,Arizona,Suburban,High School or Below,M,Basic,Unemployed,0,Single,117,0,1,Offer1,SUV,4022.963529,Medsize,Personal L3,Personal Auto,Agent,975.107098,6,1,No
PU25891,Oregon,Rural,High School or Below,F,Basic,Employed,80536,Married,119,0,3,Offer1,Sports Car,9618.310865,Medsize,Special L2,Special Auto,Branch,53.798708,5,83,No
RB81636,Washington,Suburban,College,F,Basic,Unemployed,0,Single,63,0,1,Offer2,Four-Door Car,2274.775451,Small,Personal L2,Personal Auto,Agent,606.642452,2,5,No
SX26335,Oregon,Urban,College,F,Extended,Employed,97732,Married,79,0,2,Offer4,Four-Door Car,9552.926922,Medsize,Personal L3,Personal Auto,Branch,289.9122,0,70,No
AZ95587,Arizona,Urban,Bachelor,F,Extended,Employed,61222,Single,89,0,2,Offer3,Four-Door Car,10388.55323,Small,Special L3,Special Auto,Branch,392.604371,20,55,No
DS81757,Oregon,Suburban,College,M,Basic,Unemployed,0,Single,74,0,1,Offer4,Two-Door Car,2470.121222,Large,Personal L1,Personal Auto,Web,721.242206,7,20,No
OJ94107,Arizona,Urban,Master,M,Premium,Employed,50335,Married,140,0,1,Offer1,SUV,5619.068508,Medsize,Personal L2,Personal Auto,Call Center,456.52385,9,54,No
LP84436,California,Suburban,High School or Below,F,Extended,Unemployed,0,Single,127,0,6,Offer3,Sports Car,9047.119209,Medsize,Personal L2,Personal Auto,Branch,1087.995426,30,11,No
YV64727,Washington,Suburban,High School or Below,M,Premium,Employed,63221,Married,168,0,1,Offer3,SUV,6692.143668,Medsize,Corporate L3,Corporate Auto,Agent,806.4,28,49,No
LM19287,Oregon,Suburban,High School or Below,F,Extended,Unemployed,0,Married,96,0,1,Offer1,Four-Door Car,3731.504584,Large,Personal L1,Personal Auto,Agent,460.8,31,34,Yes
ZU18643,Nevada,Urban,Bachelor,M,Extended,Employed,64495,Married,92,0,1,Offer4,Four-Door Car,3660.770258,Medsize,Corporate L2,Corporate Auto,Web,251.992083,34,30,No
AZ82578,California,Suburban,College,F,Basic,Unemployed,0,Married,72,0,2,Offer1,Four-Door Car,7928.829252,Medsize,Corporate L3,Corporate Auto,Call Center,345.6,7,75,No
XC67861,Arizona,Suburban,Bachelor,F,Basic,Employed,28859,Divorced,67,3,4,Offer1,Two-Door Car,5011.751577,Medsize,Corporate L2,Corporate Auto,Call Center,321.6,24,51,No
